samples,AIC,WAIC,10-fold-cv
10.0,-725.495438923047,-730.2616994442196,361.682012188183
20.0,-725.2877897438063,-725.1317865878646,361.61783137758385
30.0,-725.3702145727589,-726.5510421267628,362.0870052295292
40.0,-725.4315556756831,-727.6106931720957,362.34876847289587
50.0,-725.459360864354,-728.4806366393955,362.4621260524103
60.0,-725.4840835105114,-728.708712176259,362.31587525433565
70.0,-725.4571633734084,-728.6885311929035,362.9144272853325
80.0,-725.4666124788434,-725.7161097234922,362.81908698914464
90.0,-725.4311006494307,-726.1265064924728,362.63168665986484
100.0,-725.4387185041865,-726.129060162096,362.5858979151574
110.0,-725.3896117960867,-726.3708923508378,362.84393666568593
120.0,-725.4086117638325,-726.7626846776234,362.77536998736235
130.0,-725.403460116599,-726.9740325707095,362.61757300836524
140.0,-725.3904451661044,-727.1892202693336,362.678989468901
150.0,-725.3794297282183,-727.2579205533066,362.5780711521132
160.0,-725.3655549247339,-727.4592392021494,362.74568954974103
170.0,-725.3552934785168,-727.6852500917886,362.4039589898175
180.0,-725.3492203183862,-727.77334785992,362.6799270958435
190.0,-725.3518563678135,-727.8398579982518,362.3880764717021
200.0,-725.3259865641144,-727.8732911277392,362.71529360446976
210.0,-725.3410025683722,-728.0250322494547,362.72741939702826
220.0,-725.3320764917744,-728.1711578954431,362.4731438457344
230.0,-725.3255413920981,-728.2993265080235,362.7036899992878
240.0,-725.3162756608901,-728.0296250146664,362.91318779575147
250.0,-725.3112424654521,-728.0639777503602,362.5468515712906
260.0,-725.3109740984532,-728.0600406995434,362.7234337896672
270.0,-725.3108220981,-728.1301900073865,362.74258337828286
280.0,-725.3142065843743,-728.1840158892163,362.6112026484772
290.0,-725.3115802737333,-728.2556588825363,362.73810549626603
300.0,-725.3057047014536,-728.2522120525423,362.8736983981873
310.0,-725.3125413145909,-728.3105509333769,362.8531968677399
320.0,-725.3010335334727,-728.3803470832046,362.76326359738795
330.0,-725.303465943867,-728.4423140258087,362.7054182029042
340.0,-725.3007031280367,-728.4522128877908,362.803064800282
350.0,-725.292617882358,-728.5176802646577,362.7343624355858
360.0,-725.2980916422719,-728.5884474099105,362.6841282384471
370.0,-725.2875044858027,-728.618909584032,362.87503090251386
380.0,-725.293500238034,-728.5075524354183,362.97988921261003
390.0,-725.2979053022538,-728.5658546927913,362.69008200910383
400.0,-725.3055306937591,-728.5857754069498,362.5394810173699
410.0,-725.3082270186648,-728.5261903655567,362.7482249827306
420.0,-725.309384195112,-728.5609054612257,362.8632359824631
430.0,-725.3070736269814,-728.5469986056676,362.9381282872573
440.0,-725.3091179012097,-728.6054320318451,362.7379931808009
450.0,-725.3033760375918,-728.6474698872223,362.54020088023674
460.0,-725.3073600462457,-728.7046084036032,362.70580831164165
470.0,-725.3021655751477,-728.7444553664103,362.46967989654735
480.0,-725.2958423640914,-728.7299180497483,362.5822050603888
490.0,-725.3018402534765,-728.7340035635365,362.79214356565603
500.0,-725.3045375146567,-728.7470598420704,362.77230569179
510.0,-725.3054409072196,-728.7911559309259,362.56952399627994
